,Player,Nationality,Position,Club,Age,Born,90s,Goals,Shot Total,Shots on target,Shots on target %,Shots Total/90,Shots on target/90,Goals/shot,Goals/shot on target,Avg shot distance,Free kicks,Penalty kicks ,Penalty kicks attempted,Expected goal,Goals minus expected goals
524,Luca Pellegrini, ITA,"DF,MF",Eint Frankfurt,23,1999,2.2,0,3,0,0.0,1.34,0.0,0.0,0.0,27.1,1,0,0,0.1,-0.1
525,Iñaki Peña, ESP,GK,Barcelona,23,1999,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
526,Pepe, POR,DF,Porto,39,1983,4.0,0,1,0,0.0,0.25,0.0,0.0,0.0,9.5,0,0,0,0.0,0.0
527,Pepê, BRA,"DF,FW",Porto,25,1997,7.6,0,5,2,40.0,0.66,0.26,0.0,0.0,20.4,0,0,0,0.3,-0.3
528,Danilo Pereira, POR,"DF,MF",Paris S-G,30,1991,5.0,0,1,1,100.0,0.2,0.2,0.0,0.0,13.0,0,0,0,0.0,0.0
529,Dino Perić, CRO,DF,Dinamo Zagreb,28,1994,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
530,Mattia Perin, ITA,GK,Juventus,29,1992,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
531,Ivan Perišić, CRO,"DF,MF",Tottenham,33,1989,6.4,0,2,0,0.0,0.31,0.0,0.0,0.0,10.5,0,0,0,0.2,-0.2
532,Luděk Pernica, CZE,DF,Viktoria Plzeň,32,1990,5.5,0,1,1,100.0,0.18,0.18,0.0,0.0,5.2,0,0,0,0.3,-0.3
533,Bruno Petković, CRO,FW,Dinamo Zagreb,27,1994,5.4,1,2,1,50.0,0.37,0.18,0.5,1.0,10.2,0,0,0,0.5,0.5
534,Ivan Petryak, UKR,MF,Shakhtar,28,1994,2.0,0,3,0,0.0,1.5,0.0,0.0,0.0,24.3,0,0,0,0.1,-0.1
535,Kalvin Phillips, ENG,MF,Manchester City,26,1995,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
536,Frantzdy Pierrot, HAI,FW,Maccabi Haifa,27,1995,5.3,0,5,2,40.0,0.94,0.37,0.0,0.0,11.4,0,0,0,0.7,-0.7
537,Václav Pilař, CZE,"FW,MF",Viktoria Plzeň,33,1988,1.4,0,5,2,40.0,3.66,1.46,0.0,0.0,18.4,0,0,0,0.3,-0.3
538,Rodrigo Pinho, BRA,FW,Benfica,31,1991,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
539,Gerard Piqué, ESP,DF,Barcelona,35,1987,2.9,0,1,1,100.0,0.35,0.35,0.0,0.0,34.1,0,0,0,0.0,0.0
540,Tommaso Pobega, ITA,MF,Milan,23,1999,1.8,1,7,2,28.6,3.87,1.1,0.14,0.5,18.9,0,0,0,0.6,0.4
541,Suf Podgoreanu, ISR,DF,Maccabi Haifa,20,2002,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
542,Matteo Politano, ITA,FW,Napoli,28,1993,4.5,1,12,3,25.0,2.68,0.67,0.0,0.0,21.0,0,1,1,1.2,-0.2
543,Pedro Porro, ESP,DF,Tottenham,22,1999,0.4,0,2,0,0.0,4.74,0.0,0.0,0.0,27.7,1,0,0,0.1,-0.1
544,Pedro Porro, ESP,"DF,MF",Sporting CP,22,1999,4.4,0,4,2,50.0,0.92,0.46,0.0,0.0,19.9,0,0,0,0.1,-0.1
545,Yussuf Poulsen, DEN,"FW,MF",RB Leipzig,28,1994,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
546,Christian Pulisic, USA,"DF,FW",Chelsea,23,1998,1.3,0,1,0,0.0,0.8,0.0,0.0,0.0,10.7,0,0,0,0.2,-0.2
547,Adrien Rabiot, FRA,MF,Juventus,27,1995,5.0,2,4,2,50.0,0.81,0.4,0.5,1.0,19.0,0,0,0,0.6,1.4
548,Ivan Rakitić, CRO,MF,Sevilla,34,1988,4.6,0,5,0,0.0,1.08,0.0,0.0,0.0,23.0,0,0,0,0.2,-0.2
549,Gonçalo Ramos, POR,FW,Benfica,21,2001,7.9,3,24,12,50.0,3.03,1.52,0.13,0.25,11.2,0,0,0,3.8,-0.8
550,Sergio Ramos, ESP,DF,Paris S-G,36,1986,8.0,0,6,2,33.3,0.75,0.25,0.0,0.0,15.0,0,0,0,0.3,-0.3
551,Calvin Ramsay, SCO,DF,Liverpool,19,2003,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
552,Raphinha, BRA,FW,Barcelona,25,1996,3.3,0,10,0,0.0,3.06,0.0,0.0,0.0,22.0,0,0,0,0.5,-0.5
553,Giacomo Raspadori, ITA,FW,Napoli,22,2000,2.8,4,10,5,50.0,3.6,1.8,0.4,0.8,12.5,0,0,0,1.0,3.0
554,David Raum, GER,DF,RB Leipzig,24,1998,5.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
555,Ante Rebić, CRO,"FW,MF",Milan,28,1993,2.8,0,6,0,0.0,2.17,0.0,0.0,0.0,16.8,0,0,0,0.8,-0.8
556,Matheus Reis, BRA,DF,Sporting CP,27,1995,5.7,0,1,0,0.0,0.18,0.0,0.0,0.0,13.7,0,0,0,0.1,-0.1
557,Karim Rekik, NED,DF,Sevilla,27,1994,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
558,Devyne Rensch, NED,DF,Ajax,19,2003,3.2,0,2,1,50.0,0.63,0.31,0.0,0.0,9.8,0,0,0,0.5,-0.5
559,Marco Reus, GER,"MF,FW",Dortmund,33,1989,2.9,1,6,2,33.3,2.06,0.69,0.17,0.5,19.2,2,0,0,0.9,0.1
560,Gio Reyna, USA,"FW,MF",Dortmund,19,2002,4.3,0,3,1,33.3,0.7,0.23,0.0,0.0,20.2,0,0,0,0.2,-0.2
561,Richarlison, BRA,"MF,FW",Tottenham,25,1997,4.1,2,10,3,30.0,2.47,0.74,0.2,0.67,13.6,0,0,0,1.2,0.8
562,Stefan Ristovski, MKD,DF,Dinamo Zagreb,30,1992,4.1,0,2,1,50.0,0.49,0.24,0.0,0.0,25.4,0,0,0,0.1,-0.1
563,Mats Rits, BEL,MF,Club Brugge,29,1993,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
564,Sergi Roberto, ESP,DF,Barcelona,30,1992,2.3,0,4,2,50.0,1.75,0.87,0.0,0.0,19.9,0,0,0,0.1,-0.1
565,Andrew Robertson, SCO,DF,Liverpool,28,1994,4.2,0,2,0,0.0,0.48,0.0,0.0,0.0,12.5,0,0,0,0.1,-0.1
566,Rochinha, POR,"MF,FW",Sporting CP,27,1995,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
567,Sebastian Rode, GER,MF,Eint Frankfurt,31,1990,3.3,0,3,1,33.3,0.9,0.3,0.0,0.0,22.8,0,0,0,0.2,-0.2
568,Rodri, ESP,MF,Manchester City,26,1996,11.1,2,17,4,23.5,1.54,0.36,0.12,0.5,19.1,0,0,0,0.9,1.1
569,Rodrygo, BRA,FW,Real Madrid,21,2001,9.1,5,23,9,39.1,2.53,0.99,0.13,0.33,15.0,1,2,2,4.5,0.5
570,Cristian Romero, ARG,DF,Tottenham,24,1998,6.6,0,2,1,50.0,0.3,0.15,0.0,0.0,13.4,0,0,0,0.3,-0.3
571,Valentin Rongier, FRA,MF,Marseille,27,1994,5.2,0,4,1,25.0,0.76,0.19,0.0,0.0,17.8,0,0,0,0.4,-0.4
572,Tom Rothe, GER,DF,Dortmund,17,2004,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
573,Amir Rrahmani, KVX,DF,Napoli,28,1994,6.8,0,3,1,33.3,0.44,0.15,0.0,0.0,9.6,0,0,0,0.2,-0.2
574,Antonio Rüdiger, GER,DF,Real Madrid,29,1993,7.5,1,6,1,16.7,0.8,0.13,0.17,1.0,20.0,0,0,0,0.3,0.7
575,Daniele Rugani, ITA,DF,Juventus,28,1994,1.0,0,2,1,50.0,2.0,1.0,0.0,0.0,10.2,0,0,0,0.1,-0.1
576,Mário Rui, POR,DF,Napoli,31,1991,4.3,0,6,1,16.7,1.4,0.23,0.0,0.0,25.3,1,0,0,0.4,-0.4
577,Fabián Ruiz Peña, ESP,MF,Paris S-G,26,1996,2.6,0,5,0,0.0,1.89,0.0,0.0,0.0,18.3,0,0,0,0.3,-0.3
578,Nikita Rukavytsya, AUS,"FW,MF",Maccabi Haifa,35,1987,0.5,0,2,1,50.0,3.83,1.91,0.0,0.0,13.6,0,0,0,0.1,-0.1
579,Mathew Ryan, AUS,GK,FC Copenhagen,30,1992,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
580,Julian Ryerson, NOR,DF,Dortmund,24,1997,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
581,Marcel Sabitzer, AUT,MF,Bayern Munich,28,1994,3.1,0,10,3,30.0,3.21,0.96,0.0,0.0,20.6,1,0,0,0.6,-0.6
582,Alexis Saelemaekers, BEL,"FW,DF",Milan,23,1999,4.1,2,6,4,66.7,1.46,0.97,0.33,0.5,18.4,0,0,0,0.5,1.5
583,Fashion Sakala, ZAM,"FW,MF",Rangers,25,1997,2.6,0,7,1,14.3,2.68,0.38,0.0,0.0,13.1,0,0,0,0.5,-0.5
584,Mohamed Salah, EGY,FW,Liverpool,30,1992,6.9,8,22,12,54.5,3.17,1.73,0.32,0.58,13.8,0,1,1,4.0,4.0
585,Renato Sanches, POR,MF,Paris S-G,24,1997,1.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
586,Alexis Sánchez, CHI,FW,Marseille,33,1988,4.6,2,16,6,37.5,3.44,1.29,0.13,0.33,15.5,2,0,0,2.8,-0.8
587,Davinson Sánchez, COL,DF,Tottenham,26,1996,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
588,Cisse Sandra, BEL,FW,Club Brugge,18,2003,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
589,Alex Sandro, BRA,DF,Juventus,31,1991,2.7,0,1,0,0.0,0.38,0.0,0.0,0.0,27.4,0,0,0,0.0,0.0
590,James Sands, USA,"DF,MF",Rangers,22,2000,3.6,0,1,0,0.0,0.28,0.0,0.0,0.0,7.8,0,0,0,0.0,0.0
591,Leroy Sané, GER,"FW,MF",Bayern Munich,26,1996,6.1,4,18,9,50.0,2.93,1.47,0.22,0.44,20.3,2,0,0,2.5,1.5
592,Nuno Santos, POR,"DF,MF",Sporting CP,27,1995,3.3,1,3,1,33.3,0.92,0.31,0.33,1.0,24.3,0,0,0,0.3,0.7
593,Zaidu Sanusi, NGA,DF,Porto,25,1997,6.5,1,5,2,40.0,0.77,0.31,0.2,0.5,16.5,0,0,0,0.3,0.7
594,Alvaro Sanz, ESP,MF,Barcelona,21,2001,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
595,Pablo Sarabia, ESP,MF,Paris S-G,30,1992,1.0,0,3,1,33.3,2.97,0.99,0.0,0.0,18.2,0,0,0,0.1,-0.1
596,Stefan Savić, MNE,DF,Atlético Madrid,31,1991,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
597,Patrik Schick, CZE,FW,Leverkusen,26,1996,5.0,0,15,3,20.0,3.03,0.61,0.0,0.0,13.3,0,0,1,2.5,-2.5
598,Andreas Schjelderup, NOR,FW,Benfica,18,2004,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
599,Xaver Schlager, AUT,MF,RB Leipzig,24,1997,6.5,0,2,0,0.0,0.31,0.0,0.0,0.0,23.9,0,0,0,0.1,-0.1
600,Nico Schlotterbeck, GER,DF,Dortmund,22,1999,6.2,0,2,0,0.0,0.32,0.0,0.0,0.0,23.6,0,0,0,0.0,0.0
601,Abdoulaye Seck, SEN,DF,Maccabi Haifa,30,1992,4.4,2,4,2,50.0,0.91,0.45,0.5,1.0,9.7,0,0,0,0.4,1.6
602,Nicolas Seiwald, AUT,MF,RB Salzburg,21,2001,6.0,1,6,3,50.0,1.0,0.5,0.17,0.33,21.8,0,0,0,0.4,0.6
603,Benjamin Šeško, SVN,FW,RB Salzburg,19,2003,3.7,0,13,5,38.5,3.55,1.36,0.0,0.0,18.6,0,0,0,1.2,-1.2
604,Ryan Sessegnon, ENG,"MF,DF",Tottenham,22,2000,1.7,0,1,1,100.0,0.58,0.58,0.0,0.0,9.2,0,0,0,0.2,-0.2
605,Maryan Shved, UKR,MF,Shakhtar,25,1997,2.1,2,7,3,42.9,3.37,1.44,0.29,0.67,25.5,0,0,0,0.4,1.6
606,Danylo Sikan, UKR,FW,Shakhtar,21,2001,1.2,0,2,0,0.0,1.73,0.0,0.0,0.0,15.8,0,0,0,0.2,-0.2
607,André Silva, POR,FW,RB Leipzig,26,1995,5.9,3,15,7,46.7,2.53,1.18,0.2,0.43,13.7,0,0,0,2.1,0.9
608,António Silva, POR,DF,Benfica,18,2003,9.9,2,4,3,75.0,0.4,0.3,0.5,0.67,9.6,0,0,0,0.7,1.3
609,Bernardo Silva, POR,"FW,MF",Manchester City,27,1994,10.1,3,8,5,62.5,0.79,0.49,0.38,0.6,13.5,0,0,0,1.1,1.9
610,Rafa Silva, POR,MF,Benfica,29,1993,9.1,5,28,12,42.9,3.08,1.32,0.18,0.42,14.9,0,0,0,4.3,0.7
611,Thiago Silva, BRA,DF,Chelsea,37,1984,7.1,0,7,3,42.9,0.98,0.42,0.0,0.0,12.6,0,0,0,0.7,-0.7
612,Mohamed Simakan, FRA,DF,RB Leipzig,22,2000,5.7,1,2,1,50.0,0.35,0.18,0.5,1.0,10.8,0,0,0,0.4,0.6
613,Giovanni Simeone, ARG,FW,Napoli,27,1995,2.9,4,15,9,60.0,5.13,3.08,0.27,0.44,12.1,0,0,0,2.8,1.2
614,Roko Simic, CRO,FW,RB Salzburg,18,2003,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
615,Oliver Skipp, ENG,MF,Tottenham,21,2000,2.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
616,Leo Skiri Østigård, NOR,DF,Napoli,22,1999,2.2,1,1,1,100.0,0.46,0.46,1.0,1.0,10.9,0,0,0,0.1,0.9
617,Andreas Skov Olsen, DEN,"FW,MF",Club Brugge,22,1999,3.3,1,3,2,66.7,0.92,0.61,0.33,0.5,15.5,0,0,0,0.1,0.9
618,Milan Škriniar, SVK,DF,Inter,27,1995,6.0,0,2,0,0.0,0.34,0.0,0.0,0.0,6.9,0,0,0,0.1,-0.1
619,Hrvoje Smolčić, CRO,DF,Eint Frankfurt,21,2000,1.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
620,Eduard Sobol, UKR,"FW,DF",Club Brugge,27,1995,1.2,0,1,0,0.0,0.83,0.0,0.0,0.0,12.4,0,0,0,0.1,-0.1
621,Carlos Soler, ESP,MF,Paris S-G,25,1997,1.7,1,2,1,50.0,1.16,0.58,0.5,1.0,15.1,0,0,0,0.3,0.7
622,Oumar Solet, FRA,DF,RB Salzburg,22,2000,3.0,0,2,0,0.0,0.68,0.0,0.0,0.0,39.4,1,0,0,0.1,-0.1
623,Yann Sommer, SUI,GK,Bayern Munich,33,1988,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
624,Christian Sørensen, DEN,"DF,MF",FC Copenhagen,29,1992,1.1,0,1,0,0.0,0.88,0.0,0.0,0.0,23.9,0,0,0,0.0,0.0
625,Matìas Soulé, ARG,"MF,FW",Juventus,19,2003,0.5,0,2,0,0.0,4.09,0.0,0.0,0.0,11.8,0,0,0,0.4,-0.4
626,Djibril Sow, SUI,MF,Eint Frankfurt,25,1997,8.0,0,3,0,0.0,0.37,0.0,0.0,0.0,25.7,0,0,0,0.1,-0.1
627,Kamal Sowah, GHA,"FW,MF",Club Brugge,22,2000,6.6,2,13,5,38.5,1.98,0.76,0.15,0.4,18.7,0,0,0,2.1,-0.1
628,Dario Špikić, CRO,"FW,DF",Dinamo Zagreb,23,1999,1.9,0,4,2,50.0,2.16,1.08,0.0,0.0,19.1,0,0,0,0.2,-0.2
629,Jorne Spileers, BEL,DF,Club Brugge,17,2005,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
630,Jerry St. Juste, NED,DF,Sporting CP,25,1996,2.1,0,1,0,0.0,0.48,0.0,0.0,0.0,10.7,0,0,0,0.0,0.0
631,Marko Stamenic, NZL,MF,FC Copenhagen,20,2002,3.0,0,2,0,0.0,0.67,0.0,0.0,0.0,29.0,0,0,0,0.1,-0.1
632,Jindřich Staněk, CZE,GK,Viktoria Plzeň,26,1996,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
633,Josip Stanišić, CRO,DF,Bayern Munich,22,2000,3.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
634,Carl Starfelt, SWE,DF,Celtic,27,1995,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
635,Orri Steinn Óskarsson, ISL,"MF,FW",FC Copenhagen,17,2004,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
636,Taras Stepanenko, UKR,MF,Shakhtar,32,1989,5.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
637,Raheem Sterling, ENG,"FW,MF",Chelsea,27,1994,7.0,3,8,4,50.0,1.14,0.57,0.38,0.75,11.4,0,0,0,1.2,1.8
638,John Stones, ENG,"MF,DF",Manchester City,28,1994,7.6,1,3,1,33.3,0.39,0.13,0.33,1.0,23.5,0,0,0,0.1,0.9
639,Luka Sučić, CRO,MF,RB Salzburg,19,2002,4.4,0,14,4,28.6,3.17,0.9,0.0,0.0,22.6,2,0,0,1.1,-1.1
640,Heorhii Sudakov, UKR,MF,Shakhtar,19,2002,5.3,0,2,0,0.0,0.37,0.0,0.0,0.0,22.2,0,0,0,0.1,-0.1
641,Niklas Süle, GER,DF,Dortmund,26,1995,7.5,0,3,1,33.3,0.4,0.13,0.0,0.0,21.2,0,0,0,0.1,-0.1
642,Daniel Sundgren, SWE,DF,Maccabi Haifa,31,1990,3.6,0,1,1,100.0,0.28,0.28,0.0,0.0,23.3,0,0,0,0.0,0.0
643,Suso, ESP,"FW,MF",Sevilla,28,1993,2.6,0,7,4,57.1,2.66,1.52,0.0,0.0,22.1,1,0,0,0.3,-0.3
644,Josip Šutalo, CRO,DF,Dinamo Zagreb,22,2000,6.0,0,1,1,100.0,0.17,0.17,0.0,0.0,8.2,0,0,0,0.1,-0.1
645,Jan Sýkora, CZE,"FW,DF",Viktoria Plzeň,28,1993,1.6,1,3,1,33.3,1.82,0.61,0.33,1.0,12.4,0,0,0,0.5,0.5
646,Abakar Sylla, CIV,DF,Club Brugge,19,2002,5.5,1,1,1,100.0,0.18,0.18,1.0,1.0,6.1,0,0,0,0.1,0.9
647,Wojciech Szczęsny, POL,GK,Juventus,32,1990,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
648,Dominik Szoboszlai, HUN,FW,RB Leipzig,21,2000,7.3,1,15,3,20.0,2.07,0.41,0.07,0.33,22.9,2,0,0,2.2,-1.2
649,Dušan Tadić, SRB,FW,Ajax,33,1988,4.8,0,4,1,25.0,0.83,0.21,0.0,0.0,21.3,0,0,0,0.4,-0.4
650,Jonathan Tah, GER,DF,Leverkusen,26,1996,5.3,0,1,0,0.0,0.19,0.0,0.0,0.0,9.5,0,0,0,0.1,-0.1
651,Japhet Tanganga, ENG,DF,Tottenham,23,1999,0.2,0,1,0,0.0,5.0,0.0,0.0,0.0,9.9,0,0,0,0.1,-0.1
652,Edmond Tapsoba, BFA,DF,Leverkusen,23,1999,3.9,0,3,0,0.0,0.77,0.0,0.0,0.0,21.4,0,0,0,0.1,-0.1
653,Mehdi Taremi, IRN,FW,Porto,30,1992,6.8,5,22,10,45.5,3.24,1.47,0.14,0.3,15.7,0,2,2,6.0,-1.0
654,Ciprian Tătărușanu, ROU,GK,Milan,36,1986,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
655,Nuno Tavares, POR,DF,Marseille,22,2000,6.0,0,12,1,8.3,2.0,0.17,0.0,0.0,26.9,0,0,0,0.4,-0.4
656,James Tavernier, ENG,DF,Rangers,30,1991,5.4,1,4,2,50.0,0.74,0.37,0.0,0.0,24.2,2,1,1,1.1,-0.1
657,Greg Taylor, SCO,DF,Celtic,24,1997,6.0,0,2,1,50.0,0.33,0.17,0.0,0.0,12.7,0,0,0,0.2,-0.2
658,Kenneth Taylor, NED,MF,Ajax,20,2002,4.6,0,7,3,42.9,1.51,0.65,0.0,0.0,16.4,0,0,0,0.5,-0.5
659,Lucas Taylor, BRA,DF,Shakhtar,27,1995,3.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
660,Mavis Tchibota, CGO,FW,Maccabi Haifa,26,1996,1.0,0,4,1,25.0,3.87,0.97,0.0,0.0,22.6,0,0,0,0.1,-0.1
661,Aurélien Tchouaméni, FRA,MF,Real Madrid,22,2000,4.8,0,9,2,22.2,1.87,0.42,0.0,0.0,17.1,0,0,0,0.4,-0.4
662,Mathys Tel, FRA,FW,Bayern Munich,17,2005,1.6,0,7,1,14.3,4.34,0.62,0.0,0.0,21.1,0,0,0,0.6,-0.6
663,Alex Telles, BRA,"DF,FW",Sevilla,29,1992,4.3,0,4,0,0.0,0.92,0.0,0.0,0.0,18.9,0,0,0,0.2,-0.2
664,Marc-André ter Stegen, GER,GK,Barcelona,30,1992,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
665,Kévin Théophile-Catherine, FRA,DF,Dinamo Zagreb,32,1989,0.8,0,1,0,0.0,1.2,0.0,0.0,0.0,9.5,0,0,0,0.0,0.0
666,Malick Thiaw, GER,DF,Milan,20,2001,3.1,0,3,0,0.0,0.98,0.0,0.0,0.0,12.2,0,0,0,0.8,-0.8
667,Mohamed Tijani, BEN,DF,Viktoria Plzeň,25,1997,1.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
668,Malik Tillman, USA,MF,Rangers,20,2002,2.7,0,2,0,0.0,0.74,0.0,0.0,0.0,20.0,0,0,0,0.1,-0.1
669,Jurriën Timber, NED,DF,Ajax,21,2001,5.9,0,2,0,0.0,0.34,0.0,0.0,0.0,10.8,0,0,0,0.4,-0.4
670,Fikayo Tomori, ENG,DF,Milan,24,1997,9.2,0,2,0,0.0,0.22,0.0,0.0,0.0,18.1,0,0,0,0.1,-0.1
671,Sandro Tonali, ITA,MF,Milan,22,2000,11.7,0,9,1,11.1,0.77,0.09,0.0,0.0,21.6,0,0,0,0.6,-0.6
672,Pablo Torre, ESP,"MF,FW",Barcelona,19,2003,1.1,1,1,1,100.0,0.95,0.95,1.0,1.0,14.9,0,0,0,0.4,0.6
673,Ferrán Torres, ESP,"FW,MF",Barcelona,22,2000,2.1,3,7,3,42.9,3.35,1.44,0.43,1.0,13.5,0,0,0,1.3,1.7
674,Andriy Totovytskyi, UKR,MF,Shakhtar,29,1993,0.2,0,1,0,0.0,5.29,0.0,0.0,0.0,12.4,0,0,0,0.1,-0.1
675,Kevin Trapp, GER,GK,Eint Frankfurt,32,1990,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
676,Francisco Trincão, POR,"MF,FW",Sporting CP,22,1999,4.3,2,9,4,44.4,2.1,0.93,0.22,0.5,18.9,1,0,0,0.5,1.5
677,Anatolii Trubin, UKR,GK,Shakhtar,20,2001,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
678,Kostas Tsimikas, GRE,DF,Liverpool,26,1996,3.8,0,3,0,0.0,0.79,0.0,0.0,0.0,17.6,1,0,0,0.1,-0.1
679,David Turnbull, SCO,MF,Celtic,23,1999,1.1,0,3,1,33.3,2.62,0.87,0.0,0.0,25.9,0,0,0,0.1,-0.1
680,Tuta, BRA,DF,Eint Frankfurt,23,1999,6.7,0,2,1,50.0,0.3,0.15,0.0,0.0,12.3,0,0,0,0.1,-0.1
681,Marián Tvrdoň, SVK,GK,Viktoria Plzeň,27,1994,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
682,Manuel Ugarte Ribeiro, URU,MF,Sporting CP,21,2001,5.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
683,Andreas Ulmer, AUT,DF,RB Salzburg,36,1985,4.2,0,2,0,0.0,0.48,0.0,0.0,0.0,16.5,0,0,0,0.2,-0.2
684,Sven Ulreich, GER,GK,Bayern Munich,33,1988,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
685,Cengiz Ünder, TUR,MF,Marseille,25,1997,1.9,0,6,1,16.7,3.12,0.52,0.0,0.0,20.1,0,0,0,0.5,-0.5
686,Dayot Upamecano, FRA,DF,Bayern Munich,23,1998,7.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
687,Mateus Uribe, COL,MF,Porto,31,1991,6.8,1,9,2,22.2,1.33,0.3,0.0,0.0,27.1,0,1,1,1.4,-0.4
688,Enrique Valiente, ESP,DF,Sevilla,20,2002,2.0,0,1,0,0.0,0.5,0.0,0.0,0.0,9.0,0,0,0,0.0,0.0
689,Jesús Vallejo, ESP,DF,Real Madrid,25,1997,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
690,Federico Valverde, URU,"MF,FW",Real Madrid,24,1998,10.7,2,24,8,33.3,2.23,0.74,0.08,0.25,22.3,1,0,0,1.7,0.3
691,Virgil van Dijk, NED,DF,Liverpool,31,1991,8.0,0,12,5,41.7,1.5,0.62,0.0,0.0,10.5,0,0,0,1.0,-1.0
692,Hans Vanaken, BEL,MF,Club Brugge,29,1992,7.8,0,4,0,0.0,0.51,0.0,0.0,0.0,17.7,1,0,0,0.3,-0.3
693,Denis Vavro, SVK,DF,FC Copenhagen,26,1996,4.0,0,3,2,66.7,0.75,0.5,0.0,0.0,22.9,2,0,0,0.2,-0.2
694,Lucas Vázquez, ESP,DF,Real Madrid,31,1991,2.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
695,Jordan Veretout, FRA,MF,Marseille,29,1993,5.4,0,3,2,66.7,0.56,0.37,0.0,0.0,23.1,1,0,0,0.1,-0.1
696,Lucas Veríssimo, BRA,DF,Benfica,27,1995,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
697,Gabriel Veron, BRA,"MF,FW",Porto,19,2002,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
698,Marco Verratti, ITA,MF,Paris S-G,29,1992,6.9,0,2,0,0.0,0.29,0.0,0.0,0.0,25.0,0,0,0,0.1,-0.1
